gene,n_total,n_positive,n_negative,min_class_count,passes_thresholds,review_status_examples
TTN,2817,1807,1010,1010,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BRCA2,1581,1013,568,568,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NEB,1001,385,616,385,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
BRCA1,1108,751,357,357,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
KMT2D,1436,347,1089,347,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DMD,1026,684,342,342,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH5,736,328,408,328,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CHD7,600,284,316,284,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MSH2,663,390,273,273,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | reviewed by expert panel"
SACS,722,254,468,254,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
NSD1,543,295,248,248,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DNAH11,1278,221,1057,221,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
COL7A1,653,438,215,215,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ADGRV1,813,209,604,209,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ANKRD11,432,201,231,201,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
TSC2,608,409,199,199,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ALMS1,519,324,195,195,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
PKD1,808,623,185,185,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
CREBBP,391,209,182,182,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
MECP2,381,204,177,177,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
ARID1B,460,174,286,174,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
DYNC1H1,389,147,242,147,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
GRIN2A,321,144,177,144,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
FLG,502,142,360,142,True,"criteria provided, multiple submitters, no conflicts | criteria provided, single submitter | no assertion criteria provided"
