gene,score_family,auc
BRCA2,reference_pair_fixed_055,0.7445878136200716
BRCA2,borda_pair,0.7087455197132616
BRCA2,augmented_pair_fixed_055,0.6889784946236559
BRCA2,logistic_cv_pair,0.677258064516129
BRCA2,isotonic_cv_pair,0.6647491039426523
BRCA2,esm1v_baseline,0.6323835125448029
MSH2,esm1v_baseline,0.9232531841447447
MSH2,logistic_cv_pair,0.9206642066420664
MSH2,isotonic_cv_pair,0.8987471729556006
MSH2,borda_pair,0.8476371860492801
MSH2,augmented_pair_fixed_055,0.8457028925127961
MSH2,reference_pair_fixed_055,0.7492262825854067
TP53,logistic_cv_pair,0.9503726708074534
TP53,esm1v_baseline,0.9465838509316771
TP53,isotonic_cv_pair,0.9412422360248447
TP53,augmented_pair_fixed_055,0.9304968944099379
TP53,borda_pair,0.8755900621118012
TP53,reference_pair_fixed_055,0.7497515527950311
