gene,model_name,model_label,family_label,baseline_label,auc_baseline,auc_covariance,auc_pair_fixed_055,delta_pair_vs_baseline,source,n_total,n_positive,n_negative,anchor_source
TP53,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.5955900621118012,0.6209316770186335,0.749751552795031,0.1541614906832298,fallback_multigene_summary,255.0,115.0,140.0,fallback_from_frozen_tables
BRCA1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8527464850231421,0.6708759060344075,0.8282944720985067,-0.0244520129246353,fallback_multigene_summary,512.0,165.0,347.0,fallback_from_frozen_tables
BRCA2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6938351254480287,0.7094623655913979,0.7445519713261649,0.0507168458781361,fallback_multigene_summary,658.0,100.0,558.0,fallback_from_frozen_tables
KMT2D,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6919918168880456,0.6355154965211891,0.7358277988614801,0.0438359819734345,fallback_multigene_summary,1181.0,93.0,1088.0,fallback_from_frozen_tables
DMD,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.712280701754386,0.6042105263157894,0.7086549707602339,-0.003625730994152,fallback_multigene_summary,367.0,25.0,342.0,fallback_from_frozen_tables
DNAH5,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.618663318986131,0.6964968914395027,0.707855093256815,0.0891917742706839,fallback_multigene_summary,449.0,41.0,408.0,fallback_from_frozen_tables
CHD7,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6563034553540883,0.6835443037974683,0.7221176873075608,0.0658142319534724,fallback_multigene_summary,390.0,74.0,316.0,fallback_from_frozen_tables
MSH2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.7463397214617308,0.6120997500297584,0.7491370074991073,0.0027972860373765,fallback_multigene_summary,395.0,124.0,271.0,fallback_from_frozen_tables
NSD1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8472925101214575,0.6863613360323887,0.8612601214574899,0.0139676113360324,fallback_multigene_summary,407.0,160.0,247.0,fallback_from_frozen_tables
SACS,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6679576210826211,0.6028311965811965,0.6978721509971509,0.0299145299145298,fallback_multigene_summary,516.0,48.0,468.0,fallback_from_frozen_tables
DNAH11,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.797836389861941,0.7079744487945601,0.7949309705336906,-0.0029054193282505,fallback_multigene_summary,1078.0,23.0,1055.0,fallback_from_frozen_tables
COL7A1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.9428849773785544,0.9130477857402332,0.949869555166606,0.0069845777880518,fallback_multigene_summary,497.0,283.0,214.0,fallback_from_frozen_tables
ADGRV1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.5259933774834437,0.555794701986755,0.5914735099337748,0.0654801324503311,fallback_multigene_summary,624.0,20.0,604.0,fallback_from_frozen_tables
ANKRD11,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.611176702085793,0.8513708513708513,0.8046700773973501,0.193493375311557,fallback_multigene_summary,264.0,33.0,231.0,fallback_from_frozen_tables
TSC2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.5672271495442227,0.7330623306233063,0.6999568859324957,0.132729736388273,fallback_multigene_summary,362.0,164.0,198.0,fallback_from_frozen_tables
PKD1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.7491294975957553,0.7754269607030343,0.8194329298623777,0.0703034322666223,fallback_multigene_summary,348.0,163.0,185.0,fallback_from_frozen_tables
CREBBP,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.647291305186042,0.7596876807403123,0.752361673414305,0.1050703682282629,fallback_multigene_summary,296.0,114.0,182.0,fallback_from_frozen_tables
DYNC1H1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6516323779379872,0.5745560049235098,0.6384150987632612,-0.013217279174726,fallback_multigene_summary,383.0,141.0,242.0,fallback_from_frozen_tables
GRIN2A,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8154612071376629,0.6138054483414443,0.8067349107792136,-0.0087262963584493,fallback_multigene_summary,278.0,101.0,177.0,fallback_from_frozen_tables
GRIN2B,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.7381852551984878,0.5116047048939298,0.6960722537282084,-0.0421130014702794,fallback_multigene_summary,276.0,138.0,138.0,fallback_from_frozen_tables
USH2A,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8772833723653396,0.8490817206951806,0.8933070380870208,0.0160236657216812,fallback_multigene_summary,438.0,305.0,133.0,fallback_from_frozen_tables
COL2A1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.97921875,0.8303645833333333,0.9473958333333332,-0.0318229166666667,fallback_multigene_summary,578.0,450.0,128.0,fallback_from_frozen_tables
SYNGAP1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6930071721311475,0.6029713114754098,0.7316854508196722,0.0386782786885246,fallback_multigene_summary,189.0,61.0,128.0,fallback_from_frozen_tables
KMT2A,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.5492801771871539,0.748062015503876,0.7248062015503876,0.1755260243632336,fallback_multigene_summary,85.0,43.0,42.0,fallback_from_frozen_tables
ZEB2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8416575790621592,0.738495092693566,0.8645583424209379,0.0229007633587786,fallback_multigene_summary,166.0,35.0,131.0,fallback_from_frozen_tables
BRCA1,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.7865164614444153,,0.7950921316915553,0.00857567024714001,fallback_from_esm1v_augmentation_tables,,,,fallback_from_frozen_tables
BRCA2,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.6323835125448029,,0.6889784946236559,0.05659498207885305,fallback_from_esm1v_augmentation_tables,,,,fallback_from_frozen_tables
NSD1,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.8827935222672065,,0.8741902834008097,-0.0086032388663968,fallback_from_esm1v_augmentation_tables,,,,fallback_from_frozen_tables
TP53,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.9465838509316771,,0.9304968944099379,-0.016086956521739193,fallback_from_esm1v_augmentation_tables,,,,fallback_from_frozen_tables
MSH2,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.9232531841447447,,0.8457028925127961,-0.0775502916319486,fallback_from_esm1v_augmentation_tables,,,,fallback_from_frozen_tables
