model_label,family_label,architecture_kind,chemistry_only,pair_only,random_coverage_matched_mean,scalar_top_n_matched,selected_rule,beats_all_controls
ESM-1v,esm_variant_specialist,masked_encoder,0.08607721878656194,0.22964402618657942,0.017366600790513845,0.45454545454545453,0.45454545454545453,False
ESM2-150M,esm,masked_encoder,0.08607721878656194,0.3190376569037657,-0.0007126046025104638,0.5190899581589958,0.3190376569037657,False
ESM2-35M,esm,masked_encoder,0.08607721878656194,0.22357723577235766,-0.002409638554216875,0.46184738955823296,0.46184738955823296,False
ESM2-3B,esm,masked_encoder,0.08607721878656194,0.3051948051948052,-0.02042984189723319,0.45454545454545453,0.45454545454545453,False
ESM2-650M,esm,masked_encoder,0.08607721878656194,0.20302311796087735,-0.008595139300533492,0.5809128630705394,0.20302311796087735,False
ProGen2-base,progen,causal_decoder,0.08607721878656194,0.2602564102564103,0.0059112466124661344,0.46747967479674796,0.46747967479674796,False
ProGen2-small,progen,causal_decoder,0.08607721878656194,0.5125,0.016843749999999987,0.4416666666666667,0.5125,False
ProtBERT,bert_style,bidirectional_encoder,0.08607721878656194,-0.452755905511811,0.0016881163296005375,0.10738759819488547,0.08607721878656194,False
ProtBERT-BFD,bert_style,bidirectional_encoder,0.08607721878656194,-0.452755905511811,0.0068836405529953985,0.4637096774193548,0.4637096774193548,False
ProtT5,prottrans,encoder_decoder,0.08607721878656194,-0.032337198929527244,0.01877490039840638,0.2041832669322709,0.2041832669322709,False
