model_label,model_name,status,n_rows,adapter_kind,panel_name,output_path,family_label,architecture_kind,device,torch_dtype,token_probe_length,token_probe_matches_residue_count,error_type,error_message
ESM2-35M,facebook/esm2_t12_35M_UR50D,completed,255,esm,tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t12_35M_UR50D/tp53_facebook_esm2_t12_35M_UR50D_scores.csv,,,,,,,,
ESM2-35M,facebook/esm2_t12_35M_UR50D,completed,5,esm,mini_holdout_non_tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t12_35M_UR50D/mini_holdout_non_tp53_facebook_esm2_t12_35M_UR50D_scores.csv,,,,,,,,
ESM2-150M,facebook/esm2_t30_150M_UR50D,completed,255,esm,tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t30_150M_UR50D/tp53_facebook_esm2_t30_150M_UR50D_scores.csv,,,,,,,,
ESM2-150M,facebook/esm2_t30_150M_UR50D,completed,5,esm,mini_holdout_non_tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t30_150M_UR50D/mini_holdout_non_tp53_facebook_esm2_t30_150M_UR50D_scores.csv,,,,,,,,
ESM2-650M,facebook/esm2_t33_650M_UR50D,completed,255,esm,tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t33_650M_UR50D/tp53_facebook_esm2_t33_650M_UR50D_scores.csv,,,,,,,,
ESM2-650M,facebook/esm2_t33_650M_UR50D,completed,5,esm,mini_holdout_non_tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t33_650M_UR50D/mini_holdout_non_tp53_facebook_esm2_t33_650M_UR50D_scores.csv,,,,,,,,
ESM2-3B,facebook/esm2_t36_3B_UR50D,completed,255,esm,tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t36_3B_UR50D/tp53_facebook_esm2_t36_3B_UR50D_scores.csv,,,,,,,,
ESM2-3B,facebook/esm2_t36_3B_UR50D,completed,5,esm,mini_holdout_non_tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm2_t36_3B_UR50D/mini_holdout_non_tp53_facebook_esm2_t36_3B_UR50D_scores.csv,,,,,,,,
ESM-1v,facebook/esm1v_t33_650M_UR90S_1,completed,255,esm,tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm1v_t33_650M_UR90S_1/tp53_facebook_esm1v_t33_650M_UR90S_1_scores.csv,,,,,,,,
ESM-1v,facebook/esm1v_t33_650M_UR90S_1,completed,5,esm,mini_holdout_non_tp53,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12b_block12_multifamily_coverage_aware_generalization_h100/live_scores/facebook_esm1v_t33_650M_UR90S_1/mini_holdout_non_tp53_facebook_esm1v_t33_650M_UR90S_1_scores.csv,,,,,,,,
