model_label,family_label,architecture_kind,alpha,beta,auc
ESM2-35M,esm,masked_encoder,0.0,1.0,0.41006211180124225
ESM2-35M,esm,masked_encoder,0.05,0.95,0.41093167701863353
ESM2-35M,esm,masked_encoder,0.1,0.9,0.4125465838509317
ESM2-35M,esm,masked_encoder,0.15,0.85,0.4160869565217391
ESM2-35M,esm,masked_encoder,0.2,0.8,0.41708074534161493
ESM2-35M,esm,masked_encoder,0.25,0.75,0.42006211180124226
ESM2-35M,esm,masked_encoder,0.3,0.7,0.4215527950310559
ESM2-35M,esm,masked_encoder,0.35,0.65,0.4257763975155279
ESM2-35M,esm,masked_encoder,0.4,0.6,0.4294409937888199
ESM2-35M,esm,masked_encoder,0.45,0.55,0.4328571428571429
ESM2-35M,esm,masked_encoder,0.5,0.5,0.436832298136646
ESM2-35M,esm,masked_encoder,0.55,0.44999999999999996,0.4408074534161491
ESM2-35M,esm,masked_encoder,0.6,0.4,0.446583850931677
ESM2-35M,esm,masked_encoder,0.65,0.35,0.4520496894409938
ESM2-35M,esm,masked_encoder,0.7,0.30000000000000004,0.45577639751552795
ESM2-35M,esm,masked_encoder,0.75,0.25,0.46316770186335404
ESM2-35M,esm,masked_encoder,0.8,0.19999999999999996,0.47055900621118013
ESM2-35M,esm,masked_encoder,0.85,0.15000000000000002,0.47403726708074534
ESM2-35M,esm,masked_encoder,0.9,0.09999999999999998,0.47658385093167704
ESM2-35M,esm,masked_encoder,0.95,0.050000000000000044,0.48074534161490684
ESM2-35M,esm,masked_encoder,1.0,0.0,0.48795031055900623
ESM2-150M,esm,masked_encoder,0.0,1.0,0.5990062111801242
ESM2-150M,esm,masked_encoder,0.05,0.95,0.614223602484472
ESM2-150M,esm,masked_encoder,0.1,0.9,0.6311801242236025
ESM2-150M,esm,masked_encoder,0.15,0.85,0.6464596273291926
ESM2-150M,esm,masked_encoder,0.2,0.8,0.6642236024844721
ESM2-150M,esm,masked_encoder,0.25,0.75,0.6788819875776397
ESM2-150M,esm,masked_encoder,0.3,0.7,0.6949689440993789
ESM2-150M,esm,masked_encoder,0.35,0.65,0.7105590062111802
ESM2-150M,esm,masked_encoder,0.4,0.6,0.7188819875776398
ESM2-150M,esm,masked_encoder,0.45,0.55,0.7267080745341615
ESM2-150M,esm,masked_encoder,0.5,0.5,0.7339751552795031
ESM2-150M,esm,masked_encoder,0.55,0.44999999999999996,0.7369565217391304
ESM2-150M,esm,masked_encoder,0.6,0.4,0.7386335403726708
ESM2-150M,esm,masked_encoder,0.65,0.35,0.7381366459627329
ESM2-150M,esm,masked_encoder,0.7,0.30000000000000004,0.735527950310559
ESM2-150M,esm,masked_encoder,0.75,0.25,0.727639751552795
ESM2-150M,esm,masked_encoder,0.8,0.19999999999999996,0.7134782608695652
ESM2-150M,esm,masked_encoder,0.85,0.15000000000000002,0.6935403726708075
ESM2-150M,esm,masked_encoder,0.9,0.09999999999999998,0.6680745341614907
ESM2-150M,esm,masked_encoder,0.95,0.050000000000000044,0.6360248447204969
ESM2-150M,esm,masked_encoder,1.0,0.0,0.6085093167701864
ESM2-650M,esm,masked_encoder,0.0,1.0,0.5804968944099379
ESM2-650M,esm,masked_encoder,0.05,0.95,0.5908695652173913
ESM2-650M,esm,masked_encoder,0.1,0.9,0.6019875776397515
ESM2-650M,esm,masked_encoder,0.15,0.85,0.6095652173913043
ESM2-650M,esm,masked_encoder,0.2,0.8,0.6181987577639751
ESM2-650M,esm,masked_encoder,0.25,0.75,0.6270186335403727
ESM2-650M,esm,masked_encoder,0.3,0.7,0.6375155279503105
