model_label,family_label,architecture_kind,scale_bucket,n_variants,auc_ll_proper,auc_frob_dist,auc_pair_fixed_055,delta_pair_vs_ll,best_alpha,best_auc,structural_overlap_rows
ESM2-3B,esm,masked_encoder,3B,255,0.7351552795031056,0.6459006211180124,0.8369565217391305,0.10180124223602494,0.45,0.8470807453416149,0
ESM-1v,esm_variant_specialist,masked_encoder,650M,255,0.6825465838509317,0.7122360248447205,0.8073291925465839,0.12478260869565216,0.6,0.8086335403726708,0
ProGen2-small,progen,causal_decoder,small,255,0.7237888198757764,0.8020496894409938,0.8020496894409938,0.07826086956521738,0.7,0.8101242236024845,0
ProGen2-base,progen,causal_decoder,base,255,0.6860248447204969,0.7874534161490683,0.7722360248447205,0.08621118012422369,0.9,0.7879503105590062,0
ESM2-150M,esm,masked_encoder,150M,255,0.5990062111801242,0.6085093167701864,0.7369565217391304,0.1379503105590062,0.6,0.7386335403726708,0
ESM2-650M,esm,masked_encoder,650M,255,0.5804968944099379,0.574223602484472,0.6745962732919255,0.0940993788819876,0.6,0.6790683229813664,0
ProtBERT,bert_style,bidirectional_encoder,base,255,0.45472049689440996,0.5321739130434783,0.4953416149068323,0.04062111801242235,1.0,0.5321739130434783,0
ProtBERT-BFD,bert_style,bidirectional_encoder,bfd,255,0.46062111801242234,0.5120496894409938,0.47285714285714286,0.012236024844720528,1.0,0.5120496894409938,0
ESM2-35M,esm,masked_encoder,35M,255,0.41006211180124225,0.48795031055900623,0.4408074534161491,0.03074534161490683,1.0,0.48795031055900623,0
ProtT5,prottrans,encoder_decoder,xl,255,0.40304347826086956,0.42391304347826086,0.4046583850931677,0.0016149068322981464,1.0,0.42391304347826086,0
