model_label,family_label,architecture_kind,rule_type,threshold,confidence_threshold,n_rule_on,fraction_rule_on,coverage_target,coverage_floor_pass,pathogenic_fraction_rule_on,pathogenic_fraction_rule_off,enrichment_gap,gap_ci_low,gap_ci_high,positive_with_rule,negative_with_rule,positive_without_rule,negative_without_rule,odds_ratio,random_gap_mean,random_gap_p95,random_gap_p05
ESM2-35M,esm,masked_encoder,chemistry_only,0.05,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05273274277118506,0.22666931305365184,32,30,83,110,1.410130558555021,0.004458465652682602,0.12869797760320906,-0.1057161958883503
ESM2-35M,esm,masked_encoder,pair_only,0.05,,9,0.03529411764705882,13,False,0.6666666666666666,0.44308943089430897,0.22357723577235766,-0.12195121951219512,0.5149390243902436,6,3,109,137,2.3320287018917156,-0.013397696476964777,0.22357723577235766,-0.23712737127371275
ESM2-35M,esm,masked_encoder,scalar_only,0.05,,249,0.9764705882352941,13,True,0.46184738955823296,0.0,0.46184738955823296,0.39759036144578314,0.5181726907630516,115,134,0,6,11.1635687732342,-0.01649096385542169,0.2911646586345381,-0.391566265060241
ESM2-35M,esm,masked_encoder,combined,0.05,,2,0.00784313725490196,13,False,0.5,0.4505928853754941,0.04940711462450592,-0.49407114624505927,0.5889328063241106,1,1,114,139,1.2183406113537119,0.012870553359683784,0.5533596837944664,-0.45454545454545453
ESM2-35M,esm,masked_encoder,combined_confident,0.05,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.05,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.05,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,chemistry_only,0.1,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05792871469162627,0.22611357178672872,32,30,83,110,1.410130558555021,0.0062165719538692975,0.12869797760320906,-0.1057161958883503
ESM2-35M,esm,masked_encoder,pair_only,0.1,,3,0.011764705882352941,13,False,1.0,0.4444444444444444,0.5555555555555556,0.49603174603174605,0.6150793650793651,3,0,112,140,8.742222222222223,0.004067460317460294,0.5555555555555556,-0.45634920634920634
ESM2-35M,esm,masked_encoder,scalar_only,0.1,,244,0.9568627450980393,13,True,0.45491803278688525,0.36363636363636365,0.0912816691505216,-0.20603576751117736,0.38040238450074515,111,133,4,7,1.3920099875156056,-0.0032507451564828494,0.28129657228017885,-0.19374068554396423
ESM2-35M,esm,masked_encoder,combined,0.1,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.1,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.1,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.1,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,chemistry_only,0.15,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05792871469162627,0.22889854587999336,32,30,83,110,1.410130558555021,0.009839336453284308,0.12869797760320906,-0.1057161958883503
ESM2-35M,esm,masked_encoder,pair_only,0.15,,2,0.00784313725490196,13,False,1.0,0.44664031620553357,0.5533596837944664,0.4940711462450593,0.616600790513834,2,0,113,140,6.18942731277533,-0.021146245059288547,0.5533596837944664,-0.45454545454545453
ESM2-35M,esm,masked_encoder,scalar_only,0.15,,236,0.9254901960784314,13,True,0.4449152542372881,0.5263157894736842,-0.08140053523639607,-0.3022468777876896,0.1503122212310437,105,131,10,9,0.725873619409741,0.004471454058876026,0.20294380017841213,-0.19513826940231932
ESM2-35M,esm,masked_encoder,combined,0.15,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.15,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.15,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.15,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,chemistry_only,0.2,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.0573583486545211,0.23006852749456796,32,30,83,110,1.410130558555021,0.002114323917767007,0.12869797760320906,-0.12702657529667388
ESM2-35M,esm,masked_encoder,pair_only,0.2,,1,0.00392156862745098,13,False,1.0,0.44881889763779526,0.5511811023622047,0.4881889763779528,0.610236220472441,1,0,114,140,3.6812227074235806,-0.016043307086614174,0.5511811023622047,-0.452755905511811
ESM2-35M,esm,masked_encoder,scalar_only,0.2,,216,0.8470588235294118,13,True,0.4398148148148148,0.5128205128205128,-0.07300569800569795,-0.2336716524216525,0.10189636752136728,95,121,20,19,0.7476663655525444,-0.004821047008547006,0.1388888888888889,-0.16381766381766383
ESM2-35M,esm,masked_encoder,combined,0.2,,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.2,0.55,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.2,0.6,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,combined_confident,0.2,0.65,0,0.0,13,False,,,,,,0,0,115,140,1.2164502164502164,,,
ESM2-35M,esm,masked_encoder,chemistry_only,0.25,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05791408992144409,0.22490180511449098,32,30,83,110,1.410130558555021,0.004778121343807459,0.12869797760320906,-0.12702657529667388
