model_label,family_label,architecture_kind,control_name,n_rule_on,enrichment_gap
ESM2-35M,esm,masked_encoder,selected_rule,249,0.46184738955823296
ESM2-35M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-35M,esm,masked_encoder,pair_only,9,0.22357723577235766
ESM2-35M,esm,masked_encoder,scalar_top_n_matched,249,0.46184738955823296
ESM2-35M,esm,masked_encoder,random_coverage_matched_mean,249,-0.002409638554216875
ESM2-150M,esm,masked_encoder,selected_rule,16,0.3190376569037657
ESM2-150M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-150M,esm,masked_encoder,pair_only,16,0.3190376569037657
ESM2-150M,esm,masked_encoder,scalar_top_n_matched,16,0.5190899581589958
ESM2-150M,esm,masked_encoder,random_coverage_matched_mean,16,-0.0007126046025104638
ESM2-650M,esm,masked_encoder,selected_rule,14,0.20302311796087735
ESM2-650M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-650M,esm,masked_encoder,pair_only,14,0.20302311796087735
ESM2-650M,esm,masked_encoder,scalar_top_n_matched,14,0.5809128630705394
ESM2-650M,esm,masked_encoder,random_coverage_matched_mean,14,-0.008595139300533492
ESM2-3B,esm,masked_encoder,selected_rule,253,0.45454545454545453
ESM2-3B,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-3B,esm,masked_encoder,pair_only,35,0.3051948051948052
ESM2-3B,esm,masked_encoder,scalar_top_n_matched,253,0.45454545454545453
ESM2-3B,esm,masked_encoder,random_coverage_matched_mean,253,-0.02042984189723319
ESM-1v,esm_variant_specialist,masked_encoder,selected_rule,253,0.45454545454545453
ESM-1v,esm_variant_specialist,masked_encoder,chemistry_only,62,0.08607721878656194
ESM-1v,esm_variant_specialist,masked_encoder,pair_only,47,0.22964402618657942
ESM-1v,esm_variant_specialist,masked_encoder,scalar_top_n_matched,253,0.45454545454545453
ESM-1v,esm_variant_specialist,masked_encoder,random_coverage_matched_mean,253,0.017366600790513845
ProtT5,prottrans,encoder_decoder,selected_rule,251,0.2041832669322709
ProtT5,prottrans,encoder_decoder,chemistry_only,62,0.08607721878656194
ProtT5,prottrans,encoder_decoder,pair_only,19,-0.032337198929527244
ProtT5,prottrans,encoder_decoder,scalar_top_n_matched,251,0.2041832669322709
ProtT5,prottrans,encoder_decoder,random_coverage_matched_mean,251,0.01877490039840638
ProtBERT,bert_style,bidirectional_encoder,selected_rule,62,0.08607721878656194
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,62,0.08607721878656194
ProtBERT,bert_style,bidirectional_encoder,pair_only,1,-0.452755905511811
ProtBERT,bert_style,bidirectional_encoder,scalar_top_n_matched,62,0.10738759819488547
ProtBERT,bert_style,bidirectional_encoder,random_coverage_matched_mean,62,0.0016881163296005375
ProtBERT-BFD,bert_style,bidirectional_encoder,selected_rule,248,0.4637096774193548
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,62,0.08607721878656194
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,1,-0.452755905511811
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_top_n_matched,248,0.4637096774193548
ProtBERT-BFD,bert_style,bidirectional_encoder,random_coverage_matched_mean,248,0.0068836405529953985
ProGen2-small,progen,causal_decoder,selected_rule,15,0.5125
ProGen2-small,progen,causal_decoder,chemistry_only,62,0.08607721878656194
ProGen2-small,progen,causal_decoder,pair_only,15,0.5125
ProGen2-small,progen,causal_decoder,scalar_top_n_matched,15,0.4416666666666667
ProGen2-small,progen,causal_decoder,random_coverage_matched_mean,15,0.016843749999999987
ProGen2-base,progen,causal_decoder,selected_rule,246,0.46747967479674796
ProGen2-base,progen,causal_decoder,chemistry_only,62,0.08607721878656194
ProGen2-base,progen,causal_decoder,pair_only,60,0.2602564102564103
ProGen2-base,progen,causal_decoder,scalar_top_n_matched,246,0.46747967479674796
ProGen2-base,progen,causal_decoder,random_coverage_matched_mean,246,0.0059112466124661344
