model_label,family_label,architecture_kind,score_type,n_mixed_positions,top_hit_pathogenic_rate
ESM2-35M,esm,masked_encoder,pair_rank_fixed_055,11,0.6363636363636364
ESM2-35M,esm,masked_encoder,ll_rank_norm,11,0.36363636363636365
ESM2-35M,esm,masked_encoder,pair_minus_ll,11,0.6363636363636364
ESM2-150M,esm,masked_encoder,pair_rank_fixed_055,11,0.6363636363636364
ESM2-150M,esm,masked_encoder,ll_rank_norm,11,0.45454545454545453
ESM2-150M,esm,masked_encoder,pair_minus_ll,11,0.6363636363636364
ESM2-650M,esm,masked_encoder,pair_rank_fixed_055,11,0.6363636363636364
ESM2-650M,esm,masked_encoder,ll_rank_norm,11,0.45454545454545453
ESM2-650M,esm,masked_encoder,pair_minus_ll,11,0.8181818181818182
ESM2-3B,esm,masked_encoder,pair_rank_fixed_055,11,0.7272727272727273
ESM2-3B,esm,masked_encoder,ll_rank_norm,11,0.5454545454545454
ESM2-3B,esm,masked_encoder,pair_minus_ll,11,0.45454545454545453
ESM-1v,esm_variant_specialist,masked_encoder,pair_rank_fixed_055,11,0.7272727272727273
ESM-1v,esm_variant_specialist,masked_encoder,ll_rank_norm,11,0.5454545454545454
ESM-1v,esm_variant_specialist,masked_encoder,pair_minus_ll,11,0.8181818181818182
ProtT5,prottrans,encoder_decoder,pair_rank_fixed_055,11,0.8181818181818182
ProtT5,prottrans,encoder_decoder,ll_rank_norm,11,0.7272727272727273
ProtT5,prottrans,encoder_decoder,pair_minus_ll,11,0.5454545454545454
ProtBERT,bert_style,bidirectional_encoder,pair_rank_fixed_055,11,0.9090909090909091
ProtBERT,bert_style,bidirectional_encoder,ll_rank_norm,11,0.9090909090909091
ProtBERT,bert_style,bidirectional_encoder,pair_minus_ll,11,0.6363636363636364
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_rank_fixed_055,11,0.7272727272727273
ProtBERT-BFD,bert_style,bidirectional_encoder,ll_rank_norm,11,0.6363636363636364
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_minus_ll,11,0.36363636363636365
ProGen2-small,progen,causal_decoder,pair_rank_fixed_055,11,0.7272727272727273
ProGen2-small,progen,causal_decoder,ll_rank_norm,11,0.6363636363636364
ProGen2-small,progen,causal_decoder,pair_minus_ll,11,0.6363636363636364
ProGen2-base,progen,causal_decoder,pair_rank_fixed_055,11,0.8181818181818182
ProGen2-base,progen,causal_decoder,ll_rank_norm,11,0.7272727272727273
ProGen2-base,progen,causal_decoder,pair_minus_ll,11,0.6363636363636364
