model_label,family_label,architecture_kind,rule_type,threshold,confidence_threshold,n_rule_on,fraction_rule_on,coverage_target,coverage_floor_pass,pathogenic_fraction_rule_on,pathogenic_fraction_rule_off,enrichment_gap,gap_ci_low,gap_ci_high,positive_with_rule,negative_with_rule,positive_without_rule,negative_without_rule,odds_ratio,random_gap_mean,random_gap_p95,random_gap_p05,rule_priority,coverage_pass_int,selected
ESM2-35M,esm,masked_encoder,scalar_only,0.05,,249,0.9764705882352941,13,True,0.46184738955823296,0.0,0.46184738955823296,0.39759036144578314,0.5181726907630516,115,134,0,6,11.1635687732342,-0.01649096385542169,0.2911646586345381,-0.391566265060241,4,1,True
ESM2-150M,esm,masked_encoder,pair_only,0.05,,16,0.06274509803921569,13,True,0.75,0.4309623430962343,0.3190376569037657,0.0855125523012552,0.5232740585774058,12,4,103,136,3.6634460547504024,-0.0007126046025104641,0.18566945606694563,-0.21443514644351463,2,1,True
ESM2-650M,esm,masked_encoder,pair_only,0.15,,14,0.054901960784313725,13,True,0.6428571428571429,0.43983402489626555,0.20302311796087735,-0.06935388263189096,0.450607587433313,9,5,106,135,2.197609901835254,0.00822095435684647,0.20680201541197055,-0.17486662714878481,2,1,True
ESM2-3B,esm,masked_encoder,scalar_only,0.05,,253,0.9921568627450981,13,True,0.45454545454545453,0.0,0.45454545454545453,0.3952569169960474,0.5177865612648221,115,138,0,2,4.169675090252707,-0.017910079051383386,0.45454545454545453,-0.5533596837944664,4,1,True
ESM-1v,esm_variant_specialist,masked_encoder,scalar_only,0.05,,253,0.9921568627450981,13,True,0.45454545454545453,0.0,0.45454545454545453,0.3952569169960474,0.5177865612648221,115,138,0,2,4.169675090252707,-0.02420948616600789,0.45454545454545453,-0.5533596837944664,4,1,True
ProtT5,prottrans,encoder_decoder,scalar_only,0.05,,251,0.984313725490196,13,True,0.4541832669322709,0.25,0.2041832669322709,-0.30378486055776893,0.49800796812749004,114,137,1,3,1.943030303030303,-0.0059885458167330645,0.4581673306772908,-0.5577689243027888,4,1,True
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,0.05,,62,0.24313725490196078,13,True,0.5161290322580645,0.43005181347150256,0.08607721878656194,-0.05398838375396958,0.23065351830185526,32,30,83,110,1.410130558555021,-0.005450860772187863,0.10738759819488547,-0.12702657529667388,3,1,True
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_only,0.1,,248,0.9725490196078431,13,True,0.4637096774193548,0.0,0.4637096774193548,0.4032258064516129,0.5282258064516129,115,133,0,7,12.97752808988764,0.008719758064516135,0.31682027649769584,-0.2707373271889401,4,1,True
ProGen2-small,progen,causal_decoder,pair_only,0.1,,15,0.058823529411764705,13,True,0.9333333333333333,0.42083333333333334,0.5125,0.35416666666666674,0.6291666666666667,14,1,101,139,13.285714285714286,-0.0017500000000000083,0.22916666666666663,-0.19583333333333336,2,1,True
ProGen2-base,progen,causal_decoder,scalar_only,0.05,,246,0.9647058823529412,13,True,0.46747967479674796,0.0,0.46747967479674796,0.4024390243902439,0.5284552845528455,115,131,0,9,16.688212927756656,-0.008485772357723567,0.23712737127371275,-0.22933604336043323,4,1,True
