model_label,family_label,architecture_kind,covariance_rule_type,covariance_threshold,covariance_confidence_threshold,covariance_n_rule_on,covariance_enrichment_gap,covariance_odds_ratio,scalar_top_n_matched_gap,chemistry_only_gap,random_gap_mean,same_position_pair_minus_ll_rate,same_position_ll_rate,same_position_advantage,structural_overlap_rows,structural_pair_spearman,structural_ll_spearman,structural_advantage,beats_scalar_top_n_matched,beats_chemistry_only,coverage_floor_pass,adjudication_status,adjudication_reason
ESM2-35M,esm,masked_encoder,pair_only,0.1,,3,0.5555555555555556,8.742222222222223,-0.45634920634920634,0.08607721878656194,0.0064285714285714024,0.6363636363636364,0.36363636363636365,True,4,0.0,0.0,False,True,True,False,not_eligible,coverage_or_enrichment_failure
ProtT5,prottrans,encoder_decoder,pair_only,0.05,,19,-0.032337198929527244,0.8903943377148635,0.19513826940231932,0.08607721878656194,0.0013291703835860633,0.5454545454545454,0.7272727272727273,False,4,-0.19999999999999998,-0.7999999999999999,True,False,False,True,not_eligible,coverage_or_enrichment_failure
ProtBERT,bert_style,bidirectional_encoder,pair_only,0.05,,1,-0.452755905511811,0.4025974025974026,-0.452755905511811,0.08607721878656194,0.043188976377952756,0.6363636363636364,0.9090909090909091,False,4,0.19999999999999998,-0.39999999999999997,True,False,False,False,not_eligible,coverage_or_enrichment_failure
ProtBERT-BFD,bert_style,bidirectional_encoder,pair_only,0.05,,1,-0.452755905511811,0.4025974025974026,-0.452755905511811,0.08607721878656194,-0.0029921259842519738,0.36363636363636365,0.6363636363636364,False,4,-1.0,0.7999999999999999,False,False,False,False,not_eligible,coverage_or_enrichment_failure
ProGen2-small,progen,causal_decoder,pair_only,0.1,,15,0.5125,13.285714285714286,0.4416666666666667,0.08607721878656194,-0.003166666666666677,0.6363636363636364,0.6363636363636364,False,4,1.0,-0.39999999999999997,True,True,True,True,supportive,positive_but_not_fully_adjudicated
ESM-1v,esm_variant_specialist,masked_encoder,pair_only,0.1,,27,0.4483430799220273,7.706306306306306,0.48976608187134496,0.08607721878656194,-0.00200779727095518,0.8181818181818182,0.5454545454545454,True,4,0.39999999999999997,-0.19999999999999998,True,False,True,True,supportive,positive_but_not_fully_adjudicated
ESM2-3B,esm,masked_encoder,pair_only,0.1,,28,0.33590308370044053,4.04973544973545,0.5766205160478288,0.08607721878656194,-0.003348017621145379,0.45454545454545453,0.5454545454545454,False,4,0.0,0.0,False,False,True,True,supportive,positive_but_not_fully_adjudicated
ESM2-150M,esm,masked_encoder,pair_only,0.05,,16,0.3190376569037657,3.6634460547504024,0.5190899581589958,0.08607721878656194,-0.004246861924686197,0.6363636363636364,0.45454545454545453,True,4,-0.39999999999999997,0.39999999999999997,False,False,True,True,supportive,positive_but_not_fully_adjudicated
ProGen2-base,progen,causal_decoder,combined,0.05,,18,0.29184247538677915,3.244789356984479,-0.00703234880450071,0.08607721878656194,-0.008108298171589296,0.6363636363636364,0.7272727272727273,False,4,-0.6000000000000001,1.0,False,True,True,True,supportive,positive_but_not_fully_adjudicated
ESM2-650M,esm,masked_encoder,pair_only,0.15,,14,0.20302311796087735,2.197609901835254,0.5809128630705394,0.08607721878656194,0.0048577356253704795,0.8181818181818182,0.45454545454545453,True,4,-0.39999999999999997,0.39999999999999997,False,False,True,True,supportive,positive_but_not_fully_adjudicated
