model_label,family_label,architecture_kind,control_name,n_rule_on,enrichment_gap
ESM-1v,esm_variant_specialist,masked_encoder,covariance_candidate,27,0.4483430799220273
ESM-1v,esm_variant_specialist,masked_encoder,scalar_top_n_matched,27,0.48976608187134496
ESM-1v,esm_variant_specialist,masked_encoder,chemistry_only,62,0.08607721878656194
ESM-1v,esm_variant_specialist,masked_encoder,random_coverage_matched_mean,27,-0.00200779727095518
ESM2-150M,esm,masked_encoder,covariance_candidate,16,0.3190376569037657
ESM2-150M,esm,masked_encoder,scalar_top_n_matched,16,0.5190899581589958
ESM2-150M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-150M,esm,masked_encoder,random_coverage_matched_mean,16,-0.004246861924686197
ESM2-35M,esm,masked_encoder,covariance_candidate,3,0.5555555555555556
ESM2-35M,esm,masked_encoder,scalar_top_n_matched,3,-0.45634920634920634
ESM2-35M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-35M,esm,masked_encoder,random_coverage_matched_mean,3,0.0064285714285714024
ESM2-3B,esm,masked_encoder,covariance_candidate,28,0.33590308370044053
ESM2-3B,esm,masked_encoder,scalar_top_n_matched,28,0.5766205160478288
ESM2-3B,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-3B,esm,masked_encoder,random_coverage_matched_mean,28,-0.003348017621145379
ESM2-650M,esm,masked_encoder,covariance_candidate,14,0.20302311796087735
ESM2-650M,esm,masked_encoder,scalar_top_n_matched,14,0.5809128630705394
ESM2-650M,esm,masked_encoder,chemistry_only,62,0.08607721878656194
ESM2-650M,esm,masked_encoder,random_coverage_matched_mean,14,0.0048577356253704795
ProGen2-base,progen,causal_decoder,covariance_candidate,18,0.29184247538677915
ProGen2-base,progen,causal_decoder,scalar_top_n_matched,18,-0.00703234880450071
ProGen2-base,progen,causal_decoder,chemistry_only,62,0.08607721878656194
ProGen2-base,progen,causal_decoder,random_coverage_matched_mean,18,-0.008108298171589296
ProGen2-small,progen,causal_decoder,covariance_candidate,15,0.5125
ProGen2-small,progen,causal_decoder,scalar_top_n_matched,15,0.4416666666666667
ProGen2-small,progen,causal_decoder,chemistry_only,62,0.08607721878656194
ProGen2-small,progen,causal_decoder,random_coverage_matched_mean,15,-0.003166666666666677
ProtBERT,bert_style,bidirectional_encoder,covariance_candidate,1,-0.452755905511811
ProtBERT,bert_style,bidirectional_encoder,scalar_top_n_matched,1,-0.452755905511811
ProtBERT,bert_style,bidirectional_encoder,chemistry_only,62,0.08607721878656194
ProtBERT,bert_style,bidirectional_encoder,random_coverage_matched_mean,1,0.043188976377952756
ProtBERT-BFD,bert_style,bidirectional_encoder,covariance_candidate,1,-0.452755905511811
ProtBERT-BFD,bert_style,bidirectional_encoder,scalar_top_n_matched,1,-0.452755905511811
ProtBERT-BFD,bert_style,bidirectional_encoder,chemistry_only,62,0.08607721878656194
ProtBERT-BFD,bert_style,bidirectional_encoder,random_coverage_matched_mean,1,-0.0029921259842519738
ProtT5,prottrans,encoder_decoder,covariance_candidate,19,-0.032337198929527244
ProtT5,prottrans,encoder_decoder,scalar_top_n_matched,19,0.19513826940231932
ProtT5,prottrans,encoder_decoder,chemistry_only,62,0.08607721878656194
ProtT5,prottrans,encoder_decoder,random_coverage_matched_mean,19,0.0013291703835860633
