model_label,model_name,status,n_rows,adapter_kind,panel_name,output_path,family_label,architecture_kind,error_type,error_message,device,torch_dtype
ESM2-35M,facebook/esm2_t12_35M_UR50D,completed,100.0,esm,brca1_transfer100,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t12_35M_UR50D/brca1_transfer100_facebook_esm2_t12_35M_UR50D_scores.csv,,,,,,
ESM2-35M,facebook/esm2_t12_35M_UR50D,completed,24.0,esm,brca1_same_position_adjudication,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t12_35M_UR50D/brca1_same_position_adjudication_facebook_esm2_t12_35M_UR50D_scores.csv,,,,,,
ESM2-150M,facebook/esm2_t30_150M_UR50D,completed,100.0,esm,brca1_transfer100,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t30_150M_UR50D/brca1_transfer100_facebook_esm2_t30_150M_UR50D_scores.csv,,,,,,
ESM2-150M,facebook/esm2_t30_150M_UR50D,completed,24.0,esm,brca1_same_position_adjudication,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t30_150M_UR50D/brca1_same_position_adjudication_facebook_esm2_t30_150M_UR50D_scores.csv,,,,,,
ESM2-650M,facebook/esm2_t33_650M_UR50D,completed,100.0,esm,brca1_transfer100,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t33_650M_UR50D/brca1_transfer100_facebook_esm2_t33_650M_UR50D_scores.csv,,,,,,
ESM2-650M,facebook/esm2_t33_650M_UR50D,completed,24.0,esm,brca1_same_position_adjudication,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t33_650M_UR50D/brca1_same_position_adjudication_facebook_esm2_t33_650M_UR50D_scores.csv,,,,,,
ESM2-3B,facebook/esm2_t36_3B_UR50D,completed,100.0,esm,brca1_transfer100,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t36_3B_UR50D/brca1_transfer100_facebook_esm2_t36_3B_UR50D_scores.csv,,,,,,
ESM2-3B,facebook/esm2_t36_3B_UR50D,completed,24.0,esm,brca1_same_position_adjudication,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm2_t36_3B_UR50D/brca1_same_position_adjudication_facebook_esm2_t36_3B_UR50D_scores.csv,,,,,,
ESM-1v,facebook/esm1v_t33_650M_UR90S_1,completed,100.0,esm,brca1_transfer100,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm1v_t33_650M_UR90S_1/brca1_transfer100_facebook_esm1v_t33_650M_UR90S_1_scores.csv,,,,,,
ESM-1v,facebook/esm1v_t33_650M_UR90S_1,completed,24.0,esm,brca1_same_position_adjudication,/teamspace/studios/this_studio/SpectralBio/New Notebooks/results/12c_block12_covariance_adjudication_structural_closure_h100/live_scores/facebook_esm1v_t33_650M_UR90S_1/brca1_same_position_adjudication_facebook_esm1v_t33_650M_UR90S_1_scores.csv,,,,,,
