model_label,family_label,architecture_kind,adjudication_status,adjudication_reason,claim_firewall
ESM2-35M,esm,masked_encoder,not_eligible,coverage_or_enrichment_failure,excluded_from_primary_claim
ProtT5,prottrans,encoder_decoder,not_eligible,coverage_or_enrichment_failure,excluded_from_primary_claim
ProtBERT,bert_style,bidirectional_encoder,not_eligible,coverage_or_enrichment_failure,excluded_from_primary_claim
ProtBERT-BFD,bert_style,bidirectional_encoder,not_eligible,coverage_or_enrichment_failure,excluded_from_primary_claim
ProGen2-small,progen,causal_decoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
ESM-1v,esm_variant_specialist,masked_encoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
ESM2-3B,esm,masked_encoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
ESM2-150M,esm,masked_encoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
ProGen2-base,progen,causal_decoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
ESM2-650M,esm,masked_encoder,supportive,positive_but_not_fully_adjudicated,supportive_only_not_primary_claim
