gene,model_label,alpha,auc,stability_kind,source_block
TP53,ESM-1v+ESM2-150M-reference,0.0,0.9465838509316771,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.05,0.948695652173913,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.1,0.9502484472049689,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.15,0.9511801242236024,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.2,0.9514906832298137,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.25,0.9522981366459627,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.3,0.9525465838509317,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.35,0.9518633540372671,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.4,0.9480124223602484,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.45,0.9451552795031056,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.5,0.9393167701863354,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.55,0.9304968944099379,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.6,0.9204347826086956,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.65,0.9072670807453416,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.7,0.89,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.75,0.867888198757764,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.8,0.8383850931677018,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.85,0.7980745341614907,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.9,0.7463975155279503,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,0.95,0.6846583850931677,full_surface_auc,01
TP53,ESM-1v+ESM2-150M-reference,1.0,0.6209316770186335,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.0,0.6323835125448029,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.05,0.6411290322580645,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.1,0.6495519713261648,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.15,0.6563082437275986,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.2,0.662831541218638,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.25,0.6676702508960574,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.3,0.6717741935483871,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.35,0.6754480286738351,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.4,0.678010752688172,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.45,0.6820250896057347,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.5,0.6856810035842293,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.55,0.6889784946236559,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.6,0.6918458781362007,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.65,0.6968637992831541,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.7,0.7002329749103943,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.75,0.7043548387096774,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.8,0.7094086021505376,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.85,0.7124193548387097,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.9,0.7142652329749104,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,0.95,0.7136021505376344,full_surface_auc,01
BRCA2,ESM-1v+ESM2-150M-reference,1.0,0.7099820788530466,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.0,0.9232531841447447,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.05,0.9228068087132484,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.1,0.922033091298655,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.15,0.9209320319009642,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.2,0.9191465301749792,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.25,0.9162302106892036,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.3,0.9103082966313534,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.35,0.9030770146411141,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.4,0.8906975360076181,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.45,0.8762052136650399,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.5,0.8624270920128556,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.55,0.8457028925127961,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.6,0.8285620759433401,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.65,0.8123140102368765,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.7,0.7951434353053208,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.75,0.7746101654564933,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.8,0.7514581597428878,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.85,0.7248541840257112,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.9,0.6942625877871682,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,0.95,0.6561718842994881,full_surface_auc,01
MSH2,ESM-1v+ESM2-150M-reference,1.0,0.6127544339959529,full_surface_auc,01
TP53,ESM2-3B,0.45,0.8470807453416149,best_alpha_from_multifamily_tp53,12b
TP53,ESM-1v,0.6,0.8086335403726708,best_alpha_from_multifamily_tp53,12b
TP53,ProGen2-small,0.7,0.8101242236024845,best_alpha_from_multifamily_tp53,12b
TP53,ProGen2-base,0.9,0.7879503105590062,best_alpha_from_multifamily_tp53,12b
TP53,ESM2-150M,0.6,0.7386335403726708,best_alpha_from_multifamily_tp53,12b
TP53,ESM2-650M,0.6,0.6790683229813664,best_alpha_from_multifamily_tp53,12b
TP53,ProtBERT,1.0,0.5321739130434783,best_alpha_from_multifamily_tp53,12b
TP53,ProtBERT-BFD,1.0,0.5120496894409938,best_alpha_from_multifamily_tp53,12b
TP53,ESM2-35M,1.0,0.4879503105590062,best_alpha_from_multifamily_tp53,12b
TP53,ProtT5,1.0,0.4239130434782608,best_alpha_from_multifamily_tp53,12b
CREBBP,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-150M,0.55,0.1904761904761904,case_level_alpha_positive_fraction,10b
CREBBP,ESM2-650M,0.55,0.4761904761904761,case_level_alpha_positive_fraction,10b
CREBBP,ProtT5,0.55,0.5714285714285714,case_level_alpha_positive_fraction,10b
CREBBP,ESM-1v,0.55,0.0,case_level_alpha_positive_fraction,10b
