regime,predicate_count,regime_size_aug,regime_size_reference,rescued_positive_count,harmed_benign_count,genes_with_rescued_positive,path_rescue_margin_mean,benign_rescue_margin_mean,reference_gap,strict_gate_pass,composite_score
to_basic__AND__high_disagreement_q75,2,128,352,8,5,4,-0.038393947524300295,-0.04309813372891471,0.050620215143912614,True,0.2808650702627387
to_basic__AND__high_ref_adv_q75,2,128,352,8,5,4,-0.038393947524300295,-0.04309813372891471,0.050620215143912614,True,0.2808650702627387
support_rank_top10,1,2227,4875,29,50,4,-0.19368958551497284,-0.10292332759568606,-0.06361909148193934,False,0.0
support_rank_top10__AND__high_frob_q80,2,458,742,29,50,4,-0.07003161878383156,0.03641953259022139,-0.09435978966830211,False,0.0
support_rank_top10__AND__high_frob_q75,2,561,947,29,50,4,-0.09656379843907618,0.015764700692125218,-0.1006038809902948,False,0.0
high_frob_q75,1,561,2653,29,50,4,-0.09656379843907618,0.015764700692125218,-0.14952181717406193,False,0.0
high_frob_q80,1,458,2104,29,50,4,-0.07003161878383156,0.03641953259022139,-0.1535982197021371,False,0.0
high_frob_q75__AND__high_frob_q80,2,458,2104,29,50,4,-0.07003161878383156,0.03641953259022139,-0.1535982197021371,False,0.0
high_disagreement_q75,1,744,2054,28,50,4,-0.050472991913085415,-0.023524620570343865,0.02990619377835051,False,0.05814976581164906
high_ref_adv_q75,1,744,2054,28,50,4,-0.050472991913085415,-0.023524620570343865,0.02990619377835051,False,0.05814976581164906
high_disagreement_q75__AND__high_ref_adv_q75,2,744,2054,28,50,4,-0.050472991913085415,-0.023524620570343865,0.02990619377835051,False,0.05814976581164906
support_rank_top10__AND__high_disagreement_q75,2,744,1222,28,50,4,-0.050472991913085415,-0.023524620570343865,0.028710937726528444,False,0.05683732779396209
support_rank_top10__AND__high_ref_adv_q75,2,744,1222,28,50,4,-0.050472991913085415,-0.023524620570343865,0.028710937726528444,False,0.05683732779396209
high_frob_q75__AND__high_disagreement_q75,2,396,1247,28,50,4,-0.010785783494144816,0.030139182914390123,0.012920915991385923,False,0.024152415228228537
high_frob_q75__AND__high_ref_adv_q75,2,396,1247,28,50,4,-0.010785783494144816,0.030139182914390123,0.012920915991385923,False,0.024152415228228537
high_frob_q80__AND__high_disagreement_q75,2,342,1093,28,50,4,0.0036605943121298325,0.04702279693118386,0.008285747577294111,False,0.016386637601204804
high_frob_q80__AND__high_ref_adv_q75,2,342,1093,28,50,4,0.0036605943121298325,0.04702279693118386,0.008285747577294111,False,0.016386637601204804
support_rank_top10__AND__high_disagreement_q85,2,430,723,26,50,4,-0.0049410006212350045,0.0228847972962976,0.025454427183374678,False,0.04856252395732918
support_rank_top10__AND__high_ref_adv_q85,2,430,723,26,50,4,-0.0049410006212350045,0.0228847972962976,0.025454427183374678,False,0.04856252395732918
high_disagreement_q85,1,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_ref_adv_q85,1,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_disagreement_q75__AND__high_disagreement_q85,2,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_disagreement_q75__AND__high_ref_adv_q85,2,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_disagreement_q85__AND__high_ref_adv_q75,2,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_disagreement_q85__AND__high_ref_adv_q85,2,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_ref_adv_q75__AND__high_ref_adv_q85,2,430,1265,26,50,4,-0.0049410006212350045,0.0228847972962976,0.023724776629993907,False,0.04679895868721545
high_frob_q75__AND__high_disagreement_q85,2,329,1003,26,50,4,0.011214090170184902,0.043675164873619,0.012246942990580476,False,0.030369904920227682
high_frob_q75__AND__high_ref_adv_q85,2,329,1003,26,50,4,0.011214090170184902,0.043675164873619,0.012246942990580476,False,0.030369904920227682
high_frob_q80__AND__high_disagreement_q85,2,303,920,26,50,4,0.019081572656356013,0.0533872386074328,0.009781479308582697,False,0.025975339109613874
high_frob_q80__AND__high_ref_adv_q85,2,303,920,26,50,4,0.019081572656356013,0.0533872386074328,0.009781479308582697,False,0.025975339109613874
involves_special_residue__AND__high_disagreement_q75,2,250,700,20,15,4,-0.05756865137410946,-0.019505771249192977,0.021981604187934697,False,0.08479681015754555
involves_special_residue__AND__high_ref_adv_q75,2,250,700,20,15,4,-0.05756865137410946,-0.019505771249192977,0.021981604187934697,False,0.08479681015754555
involves_special_residue__AND__support_rank_top10,2,689,1497,20,15,4,-0.1910729892916204,-0.08845769387425476,-0.05171569750175703,False,0.0
involves_special_residue,1,689,3771,20,15,4,-0.1910729892916204,-0.08845769387425476,-0.07862689412083937,False,0.0
involves_special_residue__AND__high_frob_q75,2,259,1469,20,15,4,-0.09122992829966833,-0.0009750985456208413,-0.16277065192324608,False,0.0
involves_special_residue__AND__high_frob_q80,2,218,1161,20,15,4,-0.06849125264541468,0.019255782767380904,-0.17324829977668904,False,0.0
involves_special_residue__AND__high_disagreement_q85,2,160,462,18,15,4,-0.0015148827739059289,0.015272233300561858,0.018673737680540856,False,0.11674489861366441
involves_special_residue__AND__high_ref_adv_q85,2,160,462,18,15,4,-0.0015148827739059289,0.015272233300561858,0.018673737680540856,False,0.11674489861366441
very_high_disagreement,1,60,156,14,33,4,0.14185764997045006,0.21199594496009566,0.005993887208580739,False,0.0
