gene,n_total,n_positive,n_negative,auc_ll_proper,auc_frob_dist,auc_trace_ratio,auc_sps_log,auc_pair_fixed_055,delta_pair_vs_ll,pair_ci_2p5,pair_ci_97p5,paired_delta_ci_2p5,paired_delta_ci_97p5
TP53,255,115,140,0.5955900621118012,0.6209316770186335,0.6241614906832298,0.5988198757763975,0.749751552795031,0.15416149068322982,0.6844287525042215,0.8034734472934473,0.08889833498123687,0.22512231619374476
BRCA1,512,165,347,0.8527464850231421,0.6708759060344075,0.5404768142520304,0.5026111256658807,0.8282944720985067,-0.02445201292463539,0.7842039977566293,0.8663342010209127,-0.046960431301024466,-0.00293243839201953
BRCA2,658,100,558,0.6938351254480287,0.7094623655913979,0.6475448028673835,0.6185304659498208,0.7445519713261649,0.050716845878136185,0.6908811983402632,0.7979349312312335,0.0004293544949625861,0.09995664542938933
KMT2D,1181,93,1088,0.6919918168880456,0.6355154965211891,0.6065089342188489,0.5191136938646427,0.7358277988614801,0.043835981973434524,0.6794292778087089,0.7911718102755803,0.0011545377232011604,0.09028876695669347
DMD,367,25,342,0.712280701754386,0.6042105263157894,0.6092397660818714,0.6514619883040935,0.7086549707602339,-0.0036257309941520877,0.5817283329085945,0.821898700191539,-0.07735542575544488,0.08879934765845575
DNAH5,449,41,408,0.618663318986131,0.6964968914395027,0.6999641319942611,0.7172405547584888,0.707855093256815,0.08919177427068392,0.6197356482625971,0.7999380580355361,0.008133655348918016,0.184504323080961
CHD7,390,74,316,0.6563034553540883,0.6835443037974683,0.6223058501539515,0.5783441669517619,0.7221176873075608,0.06581423195347247,0.6450975461096995,0.78855779661273,0.02052688971932498,0.11762432925819209
MSH2,395,124,271,0.7463397214617308,0.6120997500297584,0.519878585882633,0.5656469467920485,0.7491370074991073,0.0027972860373765007,0.6914791763980059,0.7984910355854936,-0.038930831137343504,0.04802933781607991
NSD1,407,160,247,0.8472925101214575,0.6863613360323887,0.5799089068825911,0.48595647773279355,0.8612601214574899,0.013967611336032415,0.8199146992047708,0.9013813211984097,-0.016781986160789936,0.05092067185507621
SACS,516,48,468,0.6679576210826211,0.6028311965811965,0.49759615384615385,0.5316061253561254,0.6978721509971509,0.029914529914529808,0.6166312580231066,0.7736517398393369,-0.05330388797764664,0.11934323392656723
DNAH11,1078,23,1055,0.797836389861941,0.7079744487945601,0.649247887904389,0.6042035854110859,0.7949309705336906,-0.0029054193282505025,0.6874158497628683,0.8916152027161216,-0.05323911989643938,0.05544263921727056
COL7A1,497,283,214,0.9428849773785543,0.9130477857402332,0.8727089594134936,0.8331792212938807,0.9498695551666061,0.006984577788051838,0.9278664269558149,0.9689114752677787,-0.004875458516739981,0.018940118768004284
ADGRV1,624,20,604,0.5259933774834437,0.555794701986755,0.529635761589404,0.5600165562913907,0.5914735099337748,0.06548013245033113,0.43864271601898724,0.7396467538544899,-0.056211130276919624,0.21568704922950435
ANKRD11,264,33,231,0.611176702085793,0.8513708513708513,0.7928637019546111,0.8289387380296471,0.8046700773973501,0.19349337531155708,0.7140200354392494,0.8886867016606768,0.12408625896479282,0.27094361682154156
TSC2,362,164,198,0.5672271495442227,0.7330623306233063,0.6862835673811284,0.7180647942843065,0.6999568859324957,0.132729736388273,0.6466346203148233,0.7558274143853253,0.08596410121859871,0.1798626778600903
PKD1,348,163,185,0.7491294975957553,0.7754269607030343,0.7524456972309733,0.7021057867683634,0.8194329298623777,0.07030343226662239,0.770056938218142,0.8637164856621112,0.03556457827618912,0.1059999785793255
CREBBP,296,114,182,0.647291305186042,0.7596876807403123,0.6480624638519376,0.5418353576248313,0.752361673414305,0.10507036822826299,0.6922419507575758,0.8080841197298996,0.06235521353526074,0.15023219296387075
DYNC1H1,383,141,242,0.6516323779379872,0.5745560049235098,0.5218041146474416,0.5419377527694742,0.6384150987632612,-0.013217279174726038,0.5758054915327018,0.6992327361544423,-0.059126163764883506,0.034211686940062255
GRIN2A,278,101,177,0.8154612071376629,0.6138054483414443,0.44230016221961177,0.3958158527717178,0.8067349107792136,-0.008726296358449348,0.754758580172833,0.8587720087129185,-0.05234954040068083,0.03241377601090926
GRIN2B,276,138,138,0.7381852551984878,0.5116047048939298,0.38668346985927327,0.37213820625918925,0.6960722537282084,-0.04211300147027941,0.6316497803691862,0.7623190313240326,-0.08960987479573419,0.009730609672845688
USH2A,438,305,133,0.8772833723653396,0.8490817206951806,0.7985455441883397,0.8026870454825589,0.8933070380870208,0.016023665721681235,0.86259057770327,0.9223572201713609,-0.004537997886443828,0.0330061989891203
COL2A1,578,450,128,0.97921875,0.8303645833333333,0.8536979166666666,0.79375,0.9473958333333333,-0.0318229166666667,0.911592519885545,0.975669965270277,-0.06338507855905444,-0.00740607897537247
SYNGAP1,189,61,128,0.6930071721311475,0.6029713114754098,0.6193647540983607,0.5856813524590164,0.7316854508196722,0.03867827868852469,0.6495090541302518,0.809292647420086,-0.004954217561764904,0.08696555494805909
KMT2A,85,43,42,0.5492801771871539,0.748062015503876,0.6511627906976745,0.6832779623477298,0.7248062015503876,0.1755260243632336,0.6108484660192729,0.8298536949887124,0.07355253021329862,0.28500842976234914
ZEB2,166,35,131,0.8416575790621592,0.738495092693566,0.6133042529989094,0.5485278080697928,0.8645583424209379,0.022900763358778664,0.7877914433455235,0.9370106014925592,-0.018713095104537846,0.08086562076104808
