gene,selected,support_rank,n_total,n_positive,n_negative,skip_sequence_mismatch,skip_non_binary_label
TTN,False,1,157,4,153,856,15111
BRCA2,True,2,658,100,558,0,9314
NEB,False,3,624,9,615,1,4095
KMT2D,True,4,1181,93,1088,0,2809
DMD,True,5,367,25,342,0,3751
DNAH5,True,6,449,41,408,0,2005
CHD7,True,7,390,74,316,0,1960
MSH2,True,8,395,124,271,0,3444
NSD1,True,9,407,160,247,0,1098
SACS,True,10,516,48,468,0,1467
DNAH11,True,11,1078,23,1055,0,1830
COL7A1,True,12,497,283,214,0,1905
ADGRV1,True,13,624,20,604,0,2687
ANKRD11,True,14,264,33,231,0,1423
TSC2,True,15,362,164,198,0,5767
ALMS1,False,16,206,13,193,0,3323
PKD1,True,17,348,163,185,0,3297
CREBBP,True,18,296,114,182,0,1282
MECP2,False,19,29,9,20,270,433
ARID1B,False,20,169,7,162,134,860
DYNC1H1,True,21,383,141,242,0,2380
GRIN2A,True,22,278,101,177,0,1083
FLG,False,23,6,0,6,46,1296
GRIN2B,True,24,276,138,138,0,647
USH2A,True,25,438,305,133,0,3385
MUTYH,False,26,12,5,7,187,2452
COL2A1,True,27,578,450,128,0,1038
SYNGAP1,True,28,189,61,128,0,648
KMT2A,True,29,85,43,42,99,1826
ZEB2,True,30,166,35,131,0,591
